geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
FMWT 332	38.07331	38.07331	-122.392	-122.392
FMWT 333	38.07311	38.07311	-122.357	-122.357
FMWT 334	38.07553	38.07553	-122.33933	-122.33933
FMWT 335	38.0705	38.0705	-122.3243	-122.3243
FMWT 336	38.06275	38.06275	-122.27875	-122.27875
FMWT 338	38.06003	38.06003	-122.24892	-122.24892
FMWT 339	38.0667	38.0667	-122.2568	-122.2568
FMWT 340	38.10508	38.10508	-122.26988	-122.26988
FMWT 341	38.12828	38.12828	-122.2802	-122.2802
FMWT 401	38.05758	38.05758	-122.21245	-122.21245
FMWT 402	38.05561	38.05561	-122.183	-122.183
FMWT 403	38.04883	38.04883	-122.17192	-122.17192
FMWT 404	38.04645	38.04645	-122.17887	-122.17887
FMWT 407	38.03298	38.03298	-122.14515	-122.14515
FMWT 408	38.03513	38.03513	-122.12897	-122.12897
FMWT 409	38.04455	38.04455	-122.10637	-122.10637
FMWT 410	38.04883	38.04883	-122.09647	-122.09647
FMWT 411	38.06117	38.06117	-122.06828	-122.06828
FMWT 413	38.06595	38.06595	-122.0473	-122.0473
FMWT 414	38.05213	38.05213	-122.11128	-122.11128
FMWT 503	38.06022	38.06022	-121.9832	-121.9832
FMWT 513	38.0592	38.0592	-121.86842	-121.86842
FMWT 517	38.07022	38.07022	-121.97938	-121.97938
FMWT 604	38.12163	38.12163	-122.05717	-122.05717
FMWT 703	38.06087	38.06087	-121.79692	-121.79692
FMWT 704	38.07087	38.07087	-121.77892	-121.77892
FMWT 708	38.12608	38.12608	-121.6967	-121.6967
FMWT 711	38.17595	38.17595	-121.67028	-121.67028
FMWT 417	38.08075	38.08075	-122.083	-122.083
FMWT 419	38.10419	38.10419	-122.058	-122.058
FMWT 502	38.05997	38.05997	-122.00397	-122.00397
FMWT 504	38.05945	38.05945	-121.9767	-121.9767
FMWT 505	38.05713	38.05713	-121.95597	-121.95597
FMWT 506	38.05281	38.05281	-121.944	-121.944
FMWT 507	38.05228	38.05228	-121.939	-121.939
FMWT 508	38.04813	38.04813	-121.91492	-121.91492
FMWT 511	38.0513	38.0513	-121.88	-121.88
FMWT 518	38.06875	38.06875	-121.96802	-121.96802
FMWT 602	38.11783	38.11783	-122.04183	-122.04183
FMWT 603	38.11552	38.11552	-122.04805	-122.04805
FMWT 606	38.1698	38.1698	-122.02177	-122.02177
FMWT 707	38.11397	38.11397	-121.70797	-121.70797
FMWT 509	38.04547	38.04547	-121.90412	-121.90412
FMWT 510	38.04888	38.04888	-121.88783	-121.88783
FMWT 512	38.05638	38.05638	-121.87722	-121.87722
FMWT 514	38.06389	38.06389	-121.844	-121.844
FMWT 515	38.092	38.092	-122.01472	-122.01472
FMWT 516	38.07867	38.07867	-121.99408	-121.99408
FMWT 519	38.07378	38.07378	-121.94725	-121.94725
FMWT 601	38.1031	38.1031	-122.0356	-122.0356
FMWT 605	38.14853	38.14853	-122.05738	-122.05738
FMWT 607	38.18381	38.18381	-121.967	-121.967
FMWT 608	38.0887	38.0887	-121.88332	-121.88332
FMWT 609	38.16771	38.16771	-121.9347	-121.9347
FMWT 701	38.06505	38.06505	-121.83475	-121.83475
FMWT 702	38.06111	38.06111	-121.814	-121.814
FMWT 705	38.07925	38.07925	-121.7618	-121.7618
FMWT 706	38.0903	38.0903	-121.74	-121.74
FMWT 709	38.14787	38.14787	-121.69048	-121.69048
FMWT 710	38.162	38.162	-121.68228	-121.68228
FMWT 735	38.33343	38.33343	-121.56968	-121.56968
FMWT 802	38.03528	38.03528	-121.83875	-121.83875
FMWT 803	38.02219	38.02219	-121.819	-121.819
FMWT 804	38.02308	38.02308	-121.79868	-121.79868
FMWT 808	38.03337	38.03337	-121.71942	-121.71942
FMWT 814	38.10128	38.10128	-121.6022	-121.6022
FMWT 904	38.07828	38.07828	-121.56847	-121.56847
FMWT 911	37.99247	37.99247	-121.40875	-121.40875
FMWT 914	37.94662	37.94662	-121.53475	-121.53475
FMWT 712	38.19042	38.19042	-121.64095	-121.64095
FMWT 713	38.20712	38.20712	-121.66008	-121.66008
FMWT 715	38.22295	38.22295	-121.67362	-121.67362
FMWT 716	38.23787	38.23787	-121.68438	-121.68438
FMWT 717	38.17017	38.17017	-121.63138	-121.63138
FMWT 719	38.33428	38.33428	-121.64733	-121.64733
FMWT 721	38.26815	38.26815	-121.70277	-121.70277
FMWT 723	38.23615	38.23615	-121.67348	-121.67348
FMWT 724	38.23578	38.23578	-121.55878	-121.55878
FMWT 806	38.02872	38.02872	-121.7617	-121.7617
FMWT 812	38.08792	38.08792	-121.64883	-121.64883
FMWT 906	38.05412	38.05412	-121.51653	-121.51653
FMWT 807	38.02995	38.02995	-121.73203	-121.73203
FMWT 809	38.0512	38.0512	-121.69305	-121.69305
FMWT 902	38.0205	38.0205	-121.58255	-121.58255
FMWT 915	37.949	37.949	-121.55908	-121.55908
FMWT 913	37.97012	37.97012	-121.53705	-121.53705
FMWT 910	38.00228	38.00228	-121.45037	-121.45037
FMWT 912	37.96883	37.96883	-121.37172	-121.37172
FMWT 909	38.02442	38.02442	-121.46705	-121.46705
FMWT 908	38.04308	38.04308	-121.5298	-121.5298
FMWT 736	38.36737	38.36737	-121.5214	-121.5214
FMWT 794	38.56118333	38.56118333	-121.55618	-121.55618
FMWT 795	38.5377	38.5377	-121.58468	-121.58468
FMWT 796	38.47387	38.47387	-121.5844	-121.5844
FMWT 797	38.40462	38.40462	-121.6156	-121.6156
FMWT 801	38.05561	38.05561	-121.847	-121.847
FMWT 805	38.02683	38.02683	-121.772	-121.772
FMWT 810	38.07083	38.07083	-121.67622	-121.67622
FMWT 811	38.09742	38.09742	-121.66487	-121.66487
FMWT 813	38.09978	38.09978	-121.62767	-121.62767
FMWT 815	38.0913	38.0913	-121.57587	-121.57587
FMWT 901	38.05669	38.05669	-121.667	-121.667
FMWT 903	38.10628	38.10628	-121.56747	-121.56747
FMWT 905	38.05953	38.05953	-121.55573	-121.55573
FMWT 907	38.0625	38.0625	-121.50056	-121.50056
FMWT 916	37.87919	37.87919	-121.575	-121.575
FMWT 917	37.87419	37.87419	-121.52331	-121.52331
FMWT 918	37.86111	37.86111	-121.56931	-121.56931
FMWT 919	38.10572	38.10572	-121.49525	-121.49525
FMWT 920	38.14138	38.14138	-121.50475	-121.50475
FMWT 921	38.16513	38.16513	-121.49303	-121.49303
FMWT 922	38.20438	38.20438	-121.4789	-121.4789
FMWT 923	38.13445	38.13445	-121.56625	-121.56625
FMWT 924	38.08914	38.08914	-121.53575	-121.53575
FMWT 925	38.14039	38.14039	-121.47947	-121.47947
FMWT 799	38.370767	38.370767	-121.63075	-121.63075
Baystudy 101	37.5355	37.5355	-122.166266666667	-122.166266666667
Baystudy 102	37.5833	37.5833	-122.2083	-122.2083
Baystudy 103	37.6033	37.6033	-122.3028	-122.3028
Baystudy 104	37.6797	37.6797	-122.2367	-122.2367
Baystudy 105	37.7195	37.7195	-122.2708	-122.2708
Baystudy 106	37.702	37.702	-122.3667	-122.3667
Baystudy 107	37.605	37.605	-122.2858	-122.2858
Baystudy 108	37.6758	37.6758	-122.3297	-122.3297
Baystudy 109	37.7392	37.7392	-122.3533	-122.3533
Baystudy 110	37.7881833333333	37.7881833333333	-122.356183333333	-122.356183333333
Baystudy 211	37.8447333333333	37.8447333333333	-122.388033333333	-122.388033333333
Baystudy 212	37.8545	37.8545	-122.3527	-122.3527
Baystudy 213	37.8325	37.8325	-122.427166666667	-122.427166666667
Baystudy 214	37.8656666666667	37.8656666666667	-122.401666666667	-122.401666666667
Baystudy 215	37.888	37.888	-122.4242	-122.4242
Baystudy 216	37.9208	37.9208	-122.4363	-122.4363
Baystudy 317	37.9890166666667	37.9890166666667	-122.409033333333	-122.409033333333
Baystudy 318	38.0213	38.0213	-122.345	-122.345
Baystudy 319	38.0403	38.0403	-122.2855	-122.2855
Baystudy 320	38.0626666666667	38.0626666666667	-122.317166666667	-122.317166666667
Baystudy 321	38.0662	38.0662	-122.3675	-122.3675
Baystudy 322	38.053	38.053	-122.4138	-122.4138
Baystudy 323	38.0187	38.0187	-122.43	-122.43
Baystudy 324	37.9825	37.9825	-122.412	-122.412
Baystudy 325	38.03	38.03	-122.3717	-122.3717
Baystudy 326	38.0403333333333	38.0403333333333	-122.2855	-122.2855
Baystudy 427	38.0355	38.0355	-122.1522	-122.1522
Baystudy 428	38.062	38.062	-122.1053	-122.1053
Baystudy 429	38.0858333333333	38.0858333333333	-122.076833333333	-122.076833333333
Baystudy 430	38.1082	38.1082	-122.055	-122.055
Baystudy 431	38.1052	38.1052	-122.028	-122.028
Baystudy 432	38.0425	38.0425	-122.108	-122.108
Baystudy 433	38.0601166666667	38.0601166666667	-121.982816666667	-121.982816666667
Baystudy 534	38.07145	38.07145	-121.9562	-121.9562
Baystudy 535	38.0473166666667	38.0473166666667	-121.917666666667	-121.917666666667
Baystudy 736	38.0603333333333	38.0603333333333	-121.804333333333	-121.804333333333
Baystudy 837	38.0245	38.0245	-121.76	-121.76
Baystudy 140	37.50185	37.50185	-122.116183333333	-122.116183333333
Baystudy 141	37.65	37.65	-122.266666666667	-122.266666666667
Baystudy 142	37.7618333333333	37.7618333333333	-122.305333333333	-122.305333333333
Baystudy 243	37.8842	37.8842	-122.4012	-122.4012
Baystudy 244	37.9237	37.9237	-122.468	-122.468
Baystudy 345	37.9975	37.9975	-122.4242	-122.4242
Baystudy 346	38.0555	38.0555	-122.3	-122.3
Baystudy 447	38.0559166666667	38.0559166666667	-122.178333333333	-122.178333333333
Baystudy 750	38.0846666666667	38.0846666666667	-121.75	-121.75
Baystudy 751	38.1055	38.1055	-121.717	-121.717
Baystudy 752	38.1042	38.1042	-121.7125	-121.7125
Baystudy 853	38.0285	38.0285	-121.737	-121.737
Baystudy 760	38.1523333333333	38.1523333333333	-121.684833333333	-121.684833333333
Baystudy 761	38.1678333333333	38.1678333333333	-121.677166666667	-121.677166666667
Baystudy 762	38.175	38.175	-121.657	-121.657
Baystudy 863	38.09145	38.09145	-121.6511	-121.6511
Baystudy 864	38.1011666666667	38.1011666666667	-121.598	-121.598
Baystudy 865	38.0866666666667	38.0866666666667	-121.576333333333	-121.576333333333
STN 815	38.08	38.08	-121.569805555556	-121.569805555556
STN 902	38.0191944444444	38.0191944444444	-121.582194444444	-121.582194444444
STN 906	38.0516944444444	38.0516944444444	-121.509	-121.509
STN 910	38.0018055555556	38.0018055555556	-121.448694444444	-121.448694444444
STN 914	37.9715	37.9715	-121.52	-121.52
STN 915	37.9425	37.9425	-121.5635	-121.5635
STN 704	38.0691666666667	38.0691666666667	-121.775277777778	-121.775277777778
STN 707	38.1135	38.1135	-121.7075	-121.7075
STN 711	38.1788055555556	38.1788055555556	-121.665305555556	-121.665305555556
STN 809	38.0525	38.0525	-121.689194444444	-121.689194444444
STN 812	38.0903055555556	38.0903055555556	-121.6405	-121.6405
STN 418	38.0648055555556	38.0648055555556	-122.097805555556	-122.097805555556
STN 513	38.0583055555556	38.0583055555556	-121.868	-121.868
STN 602	38.114	38.114	-122.046194444444	-122.046194444444
STN 606	38.1694722222222	38.1694722222222	-122.025666666667	-122.025666666667
STN 609	38.1671944444444	38.1671944444444	-121.938	-121.938
STN 610	38.1188055555556	38.1188055555556	-121.889194444444	-121.889194444444
STN 405	38.0396944444444	38.0396944444444	-122.1505	-122.1505
STN 411	38.0513055555556	38.0513055555556	-122.083305555556	-122.083305555556
STN 504	38.0545	38.0545	-121.9895	-121.9895
STN 519	38.0723055555556	38.0723055555556	-121.959694444444	-121.959694444444
STN 520	38.0328055555556	38.0328055555556	-121.869305555556	-121.869305555556
STN 804	38.0181944444444	38.0181944444444	-121.797	-121.797
STN 340	38.0975	38.0975	-122.262194444444	-122.262194444444
STN 918	37.8593055555556	37.8593055555556	-121.568805555556	-121.568805555556
STN 912	37.966	37.966	-121.367305555556	-121.367305555556
STN 919	38.1048055555556	38.1048055555556	-121.492	-121.492
STN 706	38.0851944444444	38.0851944444444	-121.750694444444	-121.750694444444
STN 501	38.0725	38.0725	-122.025194444444	-122.025194444444
STN 508	38.0455	38.0455	-121.918805555556	-121.918805555556
STN 801	38.0436944444444	38.0436944444444	-121.844	-121.844
STN 323	38.0483055555556	38.0483055555556	-122.282805555556	-122.282805555556
STN 328	38.0603055555556	38.0603055555556	-122.35	-122.35
STN 329	38.0636111111111	38.0636111111111	-122.304	-122.304
STN 713	38.2063333333333	38.2063333333333	-121.660083333333	-121.660083333333
STN 336	38.0611111111111	38.0611111111111	-122.278	-122.278
STN 334	38.0763888888889	38.0763888888889	-122.338	-122.338
STN 335	38.0711111111111	38.0711111111111	-122.324	-122.324
STN 716	38.2384722222222	38.2384722222222	-121.684777777778	-121.684777777778
STN 719	38.3333888888889	38.3333888888889	-121.647527777778	-121.647527777778
STN 721	38.2684444444444	38.2684444444444	-121.703083333333	-121.703083333333
STN 723	38.2372222222222	38.2372222222222	-121.673055555556	-121.673055555556
STN 795	38.5375833333333	38.5375833333333	-121.584638888889	-121.584638888889
STN 796	38.4735555555556	38.4735555555556	-121.584444444444	-121.584444444444
STN 797	38.4047222222222	38.4047222222222	-121.615611111111	-121.615611111111
STN 722	38.2413333333333	38.2413333333333	-121.686	-121.686
Suisun CO1	38.1928358059999	38.1928358059999	-122.026567492	-122.026567492
Suisun CO2	38.1889003798999	38.1889003798999	-122.02072759	-122.02072759
Suisun CO3	38.1937543977999	38.1937543977999	-122.037086457	-122.037086457
Suisun SB1	38.2012984241999	38.2012984241999	-122.030714754	-122.030714754
Suisun SB2	38.1966381049	38.1966381049	-122.029085999	-122.029085999
Suisun SU7	38.1902982283	38.1902982283	-122.039749552	-122.039749552
Suisun WL1	38.1841757258	38.1841757258	-122.06791536	-122.06791536
Suisun WL3	38.1746627758	38.1746627758	-122.065178618	-122.065178618
Suisun BY1	38.2114828869	38.2114828869	-122.054402489	-122.054402489
Suisun BY4	38.2056638851	38.2056638851	-122.05820831	-122.05820831
Suisun BY6	38.2100702663	38.2100702663	-122.038696977	-122.038696977
Suisun PT1	38.2218957913	38.2218957913	-122.048230511	-122.048230511
Suisun PT2	38.2218802316999	38.2218802316999	-122.043585045	-122.043585045
Suisun BY3	38.2111116489	38.2111116489	-122.044455412999	-122.044455412999
Suisun GR4	38.1843642308	38.1843642308	-122.013552641999	-122.013552641999
Suisun SU1	38.2178674036999	38.2178674036999	-122.030960108	-122.030960108
Suisun SU2	38.1983728928	38.1983728928	-122.043382894999	-122.043382894999
Suisun SU6	38.1936032133	38.1936032133	-122.039941741	-122.039941741
Suisun GY1	38.1021223780999	38.1021223780999	-122.094252342999	-122.094252342999
Suisun GY3	38.1323976286	38.1323976286	-122.086693032	-122.086693032
Suisun GY4	38.0972713107	38.0972713107	-122.092471058	-122.092471058
Suisun MZ1	38.0933974217999	38.0933974217999	-121.886406304	-121.886406304
Suisun MZ2	38.1099318248	38.1099318248	-121.890147941	-121.890147941
Suisun BY5	38.2112633938	38.2112633938	-122.038146913	-122.038146913
Suisun PT0.1	38.2239146129999	38.2239146129999	-122.052767394	-122.052767394
Suisun GY2	38.1077342812999	38.1077342812999	-122.097935410999	-122.097935410999
Suisun MZ7	38.1640284619999	38.1640284619999	-121.931158275	-121.931158275
Suisun SU3	38.1394452834	38.1394452834	-122.073027256	-122.073027256
Suisun MZ8	38.1672698388	38.1672698388	-121.933747013	-121.933747013
Suisun SU4	38.1266574359	38.1266574359	-122.081375354	-122.081375354
Suisun MZ6	38.1627580241	38.1627580241	-121.929291959	-121.929291959
Suisun MZ5	38.0914364964	38.0914364964	-121.885378993	-121.885378993
Suisun GR3	38.1890372343	38.1890372343	-122.011815268	-122.011815268
Suisun SU5	38.2128004411	38.2128004411	-122.034891857	-122.034891857
Suisun CO4	38.1920104853	38.1920104853	-122.029115454	-122.029115454
Suisun RO1	38.1599342482999	38.1599342482999	-122.075122607	-122.075122607
Suisun NS3	38.1723923727	38.1723923727	-121.928698002	-121.928698002
Suisun WL2	38.1812685455999	38.1812685455999	-122.07241696	-122.07241696
Suisun GR2	38.1906449804	38.1906449804	-122.008585553	-122.008585553
Suisun DV2	38.2028488162	38.2028488162	-121.907822216	-121.907822216
Suisun DV3	38.1986301242	38.1986301242	-121.915573053	-121.915573053
Suisun SB3	38.2042913603999	38.2042913603999	-122.029121599	-122.029121599
Suisun DV4	38.2045125424999	38.2045125424999	-121.910481899	-121.910481899
Suisun GR1	38.1896276997999	38.1896276997999	-122.007594713	-122.007594713
Suisun HL1	38.219706578	38.219706578	-122.025129466	-122.025129466
Suisun MZ3	38.0714688744999	38.0714688744999	-121.86934124	-121.86934124
Suisun MZ4	38.0805235142	38.0805235142	-121.88550427	-121.88550427
Suisun CR1L	38.1523680042	38.1523680042	-122.088916788	-122.088916788
Suisun CR2L	38.1470677928	38.1470677928	-122.086966485999	-122.086966485999
Suisun CR3L	38.1369382526999	38.1369382526999	-122.094150294	-122.094150294
Suisun DV1L	38.207065942	38.207065942	-121.9103381	-121.9103381
Suisun DV2L	38.2028488162	38.2028488162	-121.907822216	-121.907822216
Suisun DV3L	38.1986301242	38.1986301242	-121.915573053	-121.915573053
Suisun NS1L	38.1927966563999	38.1927966563999	-121.929331864999	-121.929331864999
Suisun NS2L	38.1828872494999	38.1828872494999	-121.926063654	-121.926063654
Suisun NS3L	38.1723923727	38.1723923727	-121.928698002	-121.928698002
Suisun SB1L	38.2012984241999	38.2012984241999	-122.030714754	-122.030714754
Suisun SB3L	38.2042913603999	38.2042913603999	-122.029121599	-122.029121599
Suisun SU1L	38.2178674036999	38.2178674036999	-122.030960108	-122.030960108
Suisun SU2L	38.2094781746	38.2094781746	-122.034726357	-122.034726357
Suisun SB2L	38.1966381049	38.1966381049	-122.029085999	-122.029085999
Suisun SU3L	38.1983728928	38.1983728928	-122.043382894999	-122.043382894999
Suisun NS2	38.1834015211999	38.1834015211999	-121.925783143999	-121.925783143999
Suisun BY2	38.2133013887999	38.2133013887999	-122.046772457	-122.046772457
Suisun PT3	38.2262390189999	38.2262390189999	-122.037495114	-122.037495114
Suisun SU1B	38.2094781746	38.2094781746	-122.034726357	-122.034726357
Suisun MZN3	38.1503740699	38.1503740699	-121.916719863	-121.916719863
Suisun SB0_5	38.2028989893	38.2028989893	-122.028801814999	-122.028801814999
Suisun LU1	38.2107313519	38.2107313519	-121.920978592	-121.920978592
Suisun DV1	38.207065942	38.207065942	-121.9103381	-121.9103381
Suisun NS1	38.1927966563999	38.1927966563999	-121.929331864999	-121.929331864999
Suisun SUVOL	38.1806134659999	38.1806134659999	-122.048372156	-122.048372156
SDO PP	38.0597	38.0597	-121.556	-121.556
SDO lt4	38.0555	38.0555	-121.5295	-121.5295
SDO lt6	38.0538	38.0538	-121.5152	-121.5152
SDO lt12	38.0427	38.0427	-121.4988	-121.4988
SDO lt14	38.034	38.034	-121.4837	-121.4837
SDO lt18	38.0218	38.0218	-121.4657	-121.4657
SDO lt19	38.0107	38.0107	-121.4567	-121.4567
SDO lt28	37.9938	37.9938	-121.4325	-121.4325
SDO lt34	37.994	37.994	-121.4137	-121.4137
SDO lt40	37.9782	37.9782	-121.3825	-121.3825
SDO lt41	37.9687	37.9687	-121.3715	-121.3715
SDO lt43	37.9587	37.9587	-121.3593	-121.3593
SDO lt48	37.9522	37.9522	-121.3378	-121.3378
SDO tb	37.9523	37.9523	-121.3173	-121.3173
SKT 809	38.0537777777778	38.0537777777778	-121.693027777778	-121.693027777778
SKT 812	38.0899166666667	38.0899166666667	-121.639916666667	-121.639916666667
SKT 815	38.0871388888889	38.0871388888889	-121.571138888889	-121.571138888889
SKT 902	38.0203888888889	38.0203888888889	-121.582666666667	-121.582666666667
SKT 915	37.9442777777778	37.9442777777778	-121.567888888889	-121.567888888889
SKT 914	37.9715	37.9715	-121.52	-121.52
SKT 912	37.9664166666667	37.9664166666667	-121.368555555556	-121.368555555556
SKT 910	38.005	38.005	-121.453027777778	-121.453027777778
SKT 906	38.0500277777778	38.0500277777778	-121.506472222222	-121.506472222222
SKT 919	38.1051944444444	38.1051944444444	-121.494583333333	-121.494583333333
SKT 920	38.1417777777778	38.1417777777778	-121.504055555556	-121.504055555556
SKT 340	38.0992222222222	38.0992222222222	-122.263277777778	-122.263277777778
SKT 405	38.0399166666667	38.0399166666667	-122.146722222222	-122.146722222222
SKT 418	38.0675	38.0675	-122.095555555556	-122.095555555556
SKT 411	38.0502222222222	38.0502222222222	-122.076527777778	-122.076527777778
SKT 501	38.0733333333333	38.0733333333333	-122.026333333333	-122.026333333333
SKT 602	38.1155555555556	38.1155555555556	-122.042391666667	-122.042391666667
SKT 606	38.1705833333333	38.1705833333333	-122.027916666667	-122.027916666667
SKT 609	38.1670833333333	38.1670833333333	-121.937833333333	-121.937833333333
SKT 610	38.1221944444444	38.1221944444444	-121.889111111111	-121.889111111111
SKT 706	38.0860833333333	38.0860833333333	-121.750444444444	-121.750444444444
SKT 707	38.1146944444444	38.1146944444444	-121.707861111111	-121.707861111111
SKT 504	38.0519444444444	38.0519444444444	-121.986083333333	-121.986083333333
SKT 519	38.07475	38.07475	-121.958083333333	-121.958083333333
SKT 508	38.0471666666667	38.0471666666667	-121.917222222222	-121.917222222222
SKT 520	38.0321666666667	38.0321666666667	-121.863111111111	-121.863111111111
SKT 513	38.0588611111111	38.0588611111111	-121.86775	-121.86775
SKT 801	38.0436944444444	38.0436944444444	-121.844	-121.844
SKT 804	38.0164444444444	38.0164444444444	-121.791305555556	-121.791305555556
SKT 704	38.0665833333333	38.0665833333333	-121.790311111111	-121.790311111111
SKT 713	38.2064722222222	38.2064722222222	-121.661055555556	-121.661055555556
SKT 716	38.2576944444444	38.2576944444444	-121.691916666667	-121.691916666667
SKT 715	38.2257777777778	38.2257777777778	-121.675027777778	-121.675027777778
SKT 711	38.1774166666667	38.1774166666667	-121.66225	-121.66225
SKT 712	38.1914722222222	38.1914722222222	-121.639222222222	-121.639222222222
SKT 921	38.1655	38.1655	-121.493027777778	-121.493027777778
SKT 922	38.2046944444444	38.2046944444444	-121.479055555556	-121.479055555556
SKT 923	38.1356944444444	38.1356944444444	-121.562805555556	-121.562805555556
SKT 799	38.2686111111111	38.2686111111111	-121.673055555556	-121.673055555556
SKT 699	38.1891666666667	38.1891666666667	-121.925	-121.925
SKT 999	38.2847222222222	38.2847222222222	-121.630833333333	-121.630833333333
SKT 719	38.3335	38.3335	-121.6475	-121.6475
SKT 724	38.2369722222222	38.2369722222222	-121.558777777778	-121.558777777778
SKT 899	38.1077777777778	38.1077777777778	-121.780555555556	-121.780555555556
SKT 703	38.0631388888889	38.0631388888889	-121.796083333333	-121.796083333333
SKT 705	38.0796111111111	38.0796111111111	-121.761472222222	-121.761472222222
SKT 708	38.12525	38.12525	-121.697972222222	-121.697972222222
SKT 709	38.1471388888889	38.1471388888889	-121.688972222222	-121.688972222222
SKT 710	38.1631944444444	38.1631944444444	-121.681611111111	-121.681611111111
SKT 507	38.0525	38.0525	-121.9355	-121.9355
SKT 510	38.0480277777778	38.0480277777778	-121.889611111111	-121.889611111111
SKT 511	38.0519166666667	38.0519166666667	-121.88025	-121.88025
SKT 512	38.0556388888889	38.0556388888889	-121.877027777778	-121.877027777778
SKT 515	38.0918888888889	38.0918888888889	-122.016	-122.016
SKT 516	38.0768333333333	38.0768333333333	-121.995805555556	-121.995805555556
SKT 517	38.0704722222222	38.0704722222222	-121.983111111111	-121.983111111111
SKT 518	38.0709166666667	38.0709166666667	-121.965694444444	-121.965694444444
SKT 608	38.0895	38.0895	-121.884027777778	-121.884027777778
SKT 701	38.0656388888889	38.0656388888889	-121.834694444444	-121.834694444444
SKT 807	38.0284166666667	38.0284166666667	-121.732611111111	-121.732611111111
SKT 808	38.0329444444444	38.0329444444444	-121.718916666667	-121.718916666667
SKT 908	38.0396388888889	38.0396388888889	-121.525638888889	-121.525638888889
