"Station","DateTime.PT","Depth.feet","Temp.C","SpCond.uS","pH","ODOsat..","ODO.mg.L","Turbid..NTU","Chl.ug.L","Chl.RFU","Date"
"16",2012-05-08 11:19:53,1.039,16.73,138,7.56,94,9.14,18.7,NA,NA,2012-05-08
"34",2012-05-08 11:58:55,1.049,16.82,137,7.64,96,9.31,15,NA,NA,2012-05-08
"44",2012-05-08 12:34:22,1.074,17.02,157,7.48,95.6,9.23,16.4,NA,NA,2012-05-08
"56",2012-05-08 13:02:00,1.006,17.92,308,7.77,94.7,8.97,26,NA,NA,2012-05-08
"62",2012-05-08 13:25:31,0.988,19.02,598,8.11,97.5,9.03,27.9,NA,NA,2012-05-08
"66",2012-05-08 13:50:37,1.116,18.88,848,8.23,100,9.28,22.7,NA,NA,2012-05-08
"70",2012-05-08 14:14:38,1.003,19.02,1043,8.23,98,9.06,13.8,NA,NA,2012-05-08
"74",2012-05-08 14:30:38,1.035,20.87,1097,8.24,101,8.99,11.6,NA,NA,2012-05-08
"74",2012-05-08 14:30:38,1.035,20.87,1097,8.24,101,8.99,11.6,NA,NA,2012-05-08
"74",2012-05-08 14:34:48,2.036,19.94,1095,8.26,98,8.9,11.6,NA,NA,2012-05-08
"74",2012-05-08 14:35:28,3.005,19.77,1094,8.26,98.8,8.99,11.5,NA,NA,2012-05-08
"74",2012-05-08 14:35:54,4.09,19.73,1095,8.26,98.8,9,11.5,NA,NA,2012-05-08
"74",2012-05-08 14:36:36,5.017,19.46,1094,8.25,96.4,8.83,11.3,NA,NA,2012-05-08
"74",2012-05-08 14:37:06,6.084,19.14,1095,8.23,93.9,8.65,11.4,NA,NA,2012-05-08
"76",2012-05-08 14:51:02,1.01,20.38,1098,8.21,94.4,8.49,7.3,NA,NA,2012-05-08
"84",2012-05-08 15:06:51,1.055,21.25,1061,8.2,96.8,8.56,6.9,NA,NA,2012-05-08
"WSP",2012-05-08 15:28:59,1.056,20.88,703,7.99,91.8,8.19,6.6,NA,NA,2012-05-08
"WSP",2012-05-08 15:28:59,1.056,20.88,703,7.99,91.8,8.19,6.6,NA,NA,2012-05-08
"WSP",2012-05-08 15:34:09,2.029,21.32,718,8.07,96.9,8.57,6.4,NA,NA,2012-05-08
"WSP",2012-05-08 15:34:50,3.029,19.83,709,7.95,86.3,7.86,8,NA,NA,2012-05-08
"WSP",2012-05-08 15:35:49,3.916,19.12,710,7.84,79.3,7.32,8.5,NA,NA,2012-05-08
"WSP",2012-05-08 15:36:45,5.037,18.86,752,7.83,77,7.15,8.9,NA,NA,2012-05-08
"WSP",2012-05-08 15:37:37,5.051,19.52,694,7.85,80.2,7.35,8.1,NA,NA,2012-05-08
"16",2012-06-13 11:40:28,1.127,20.61,175,7.69,96.2,8.64,NA,2.5,0.6,2012-06-13
"16",2012-06-13 11:42:11,4.102,20.61,175,7.05,92.4,8.3,NA,3.5,0.8,2012-06-13
"16",2012-06-13 11:43:22,10.898,20.52,176,7.22,91.8,8.26,NA,3.7,0.9,2012-06-13
"16",2012-06-13 11:44:08,20.464,20.47,183,7.29,91.8,8.27,NA,3.5,0.8,2012-06-13
"16",2012-06-13 11:44:48,24.992,20.47,184,7.33,91.9,8.27,NA,3.7,0.9,2012-06-13
"34",2012-06-13 12:16:41,1.015,20.9055555555556,165,7.39,92.2,8.23,NA,2.1,0.5,2012-06-13
"34",2012-06-13 12:17:19,5.107,20.6777777777778,166,7.4,91,8.16,NA,2.2,0.5,2012-06-13
"34",2012-06-13 12:18:02,9.998,20.6222222222222,166,7.37,90.1,8.09,NA,2.3,0.5,2012-06-13
"34",2012-06-13 12:18:55,20.031,20.6222222222222,165,7.36,89.7,8.05,NA,2.6,0.6,2012-06-13
"34",2012-06-13 12:19:35,25.466,20.6222222222222,165,7.37,89.4,8.03,NA,2.5,0.6,2012-06-13
"44",2012-06-13 12:44:46,1.036,20.6,172,7.69,89.4,8.03,NA,2.3,0.5,2012-06-13
"44",2012-06-13 12:45:59,5.383,20.58,174,7.33,90.8,8.16,NA,2.7,0.6,2012-06-13
"44",2012-06-13 12:46:38,10.144,20.59,174,7.4,90.6,8.14,NA,3,0.7,2012-06-13
"44",2012-06-13 12:47:36,18.752,20.57,174,7.41,90.2,8.11,NA,2.7,0.6,2012-06-13
"44",2012-06-13 12:48:35,32.308,20.56,175,7.42,89.7,8.06,NA,2.8,0.7,2012-06-13
"44",2012-06-13 12:49:23,38.606,20.57,174,7.44,89.5,8.04,NA,2.9,0.7,2012-06-13
"Pro",2012-06-13 13:19:46,1.001,21.17,239,7.98,94.7,8.41,NA,7.1,1.7,2012-06-13
"Pro",2012-06-13 13:20:28,2.042,21.12,239,7.84,94.3,8.38,NA,7.1,1.7,2012-06-13
"Pro",2012-06-13 13:21:02,3.071,21.07,239,7.8,94,8.37,NA,7,1.6,2012-06-13
"Pro",2012-06-13 13:21:38,4.04,21.04,239,7.81,93.9,8.36,NA,7.4,1.7,2012-06-13
"Pro",2012-06-13 13:22:11,5.145,21.04,239,7.83,93.8,8.35,NA,7.5,1.8,2012-06-13
"Pro",2012-06-13 13:22:47,9.974,21.01,239,7.86,93.6,8.34,NA,7.9,1.9,2012-06-13
"Pro",2012-06-13 13:23:23,15.008,21,239,7.87,93.4,8.32,NA,8.2,1.9,2012-06-13
"Pro",2012-06-13 13:24:19,20.675,20.98,239,7.88,93.1,8.3,NA,10.7,2.5,2012-06-13
"56",2012-06-13 13:56:59,1.029,21.4277777777778,219,7.73,94.8,8.38,NA,3,0.7,2012-06-13
"56",2012-06-13 13:58:06,2.021,21.2777777777778,220,7.68,94.1,8.34,NA,4,1,2012-06-13
"56",2012-06-13 13:58:53,2.926,21.1555555555556,222,7.66,93.5,8.31,NA,3.9,0.9,2012-06-13
"56",2012-06-13 13:59:43,4.097,21.1111111111111,221,7.67,93.3,8.29,NA,4.2,1,2012-06-13
"56",2012-06-13 14:00:17,4.954,21.0833333333333,221,7.69,93.1,8.28,NA,4,1,2012-06-13
"56",2012-06-13 14:01:01,10.371,20.9333333333333,223,7.69,92.7,8.28,NA,3.9,0.9,2012-06-13
"56",2012-06-13 14:01:43,20.206,20.7944444444444,228,7.65,91.4,8.18,NA,3.9,0.9,2012-06-13
"56",2012-06-13 14:02:44,29.892,20.7666666666667,230,7.62,91,8.14,NA,3.8,0.9,2012-06-13
"56",2012-06-13 14:03:34,34.389,20.7722222222222,231,7.62,90.8,8.13,NA,3.6,0.9,2012-06-13
"62",2012-06-13 14:25:38,1.042,21.18,420,8.02,95.8,8.5,NA,4.1,1,2012-06-13
"62",2012-06-13 14:26:16,2,21.34,415,7.97,96.2,8.51,NA,4.8,1.1,2012-06-13
"62",2012-06-13 14:26:52,3.032,21.25,418,7.97,96.1,8.51,NA,4.7,1.1,2012-06-13
"62",2012-06-13 14:27:17,4.007,21.23,420,7.98,95.9,8.5,NA,5.1,1.2,2012-06-13
"62",2012-06-13 14:27:41,5.018,21.24,419,7.99,95.7,8.48,NA,4.7,1.1,2012-06-13
"62",2012-06-13 14:28:17,10.293,21.05,427,7.96,94.9,8.45,NA,4.6,1.1,2012-06-13
"62",2012-06-13 14:29:01,20.031,20.89,434,7.97,93.9,8.38,NA,5,1.2,2012-06-13
"62",2012-06-13 14:29:50,29.933,20.86,439,7.91,93.7,8.36,NA,5.1,1.2,2012-06-13
"66",2012-06-13 14:49:01,1.084,21.51,682,8.33,105.4,9.28,NA,5.5,0.4,2012-06-13
"66",2012-06-13 14:49:40,2.092,21.47,683,8.27,101,8.91,NA,7.5,1.8,2012-06-13
"66",2012-06-13 14:50:14,3.023,21.3,684,8.23,100.1,8.85,NA,6.5,1.5,2012-06-13
"66",2012-06-13 14:50:46,3.983,21.22,685,8.23,99.1,8.78,NA,5.8,1.4,2012-06-13
"66",2012-06-13 14:51:15,5.033,21.03,686,8.21,97.9,8.7,NA,4.9,1.2,2012-06-13
"66",2012-06-13 14:51:55,10.075,20.78,689,8.2,96.2,8.6,NA,5.3,1.2,2012-06-13
"66",2012-06-13 14:52:35,20.002,20.75,694,8.2,95.4,8.53,NA,4.9,1.2,2012-06-13
"66",2012-06-13 14:53:19,30.455,20.73,699,8.2,94.9,8.49,NA,5.6,1.3,2012-06-13
"66",2012-06-13 14:54:44,34.774,20.68,712,7.82,82.6,7.4,NA,3.9,0.9,2012-06-13
"70",2012-06-13 15:11:53,1.035,23.0166666666667,947,8.45,112.7,9.64,NA,13.4,3.2,2012-06-13
"70",2012-06-13 15:12:23,2.047,23.3,950,8.46,118.5,10.08,NA,16.8,4,2012-06-13
"70",2012-06-13 15:13:05,2.981,22.1388888888889,957,8.41,112.5,9.79,NA,12.1,2.9,2012-06-13
"70",2012-06-13 15:13:28,4.021,23.1777777777778,953,8.46,115,9.8,NA,15.4,3.6,2012-06-13
"70",2012-06-13 15:14:02,5.155,22.7055555555556,966,8.43,111.1,9.56,NA,11.6,2.7,2012-06-13
"70",2012-06-13 15:14:42,10.186,21.1444444444444,971,8.34,99.1,8.79,NA,5,1.2,2012-06-13
"70",2012-06-13 15:15:11,20.121,21.0555555555556,982,8.28,94.5,8.39,NA,4.4,1.1,2012-06-13
"70",2012-06-13 15:15:48,30.168,20.9666666666667,994,8.25,91.5,8.14,NA,4.9,1.1,2012-06-13
"70",2012-06-13 15:16:08,35.067,20.9666666666667,995,8.25,90.9,8.09,NA,4.2,1,2012-06-13
"74",2012-06-13 15:34:06,1.016,23.6055555555556,1048,8.63,133.2,11.27,NA,18.6,4.4,2012-06-13
"74",2012-06-13 15:34:26,2.078,23.6166666666667,1048,8.62,133.8,11.31,NA,19.1,4.5,2012-06-13
"74",2012-06-13 15:34:50,3.082,23.6111111111111,1048,8.62,134.2,11.35,NA,19.1,4.5,2012-06-13
"74",2012-06-13 15:35:17,3.996,23.5,1048,8.61,133.8,11.33,NA,21.6,5.1,2012-06-13
"74",2012-06-13 15:35:43,4.969,22.6166666666667,1041,8.55,123.5,10.64,NA,15.7,3.7,2012-06-13
"74",2012-06-13 15:36:07,5.95,22.9722222222222,1044,8.55,122.3,10.47,NA,16.1,3.8,2012-06-13
"74",2012-06-13 15:36:33,7.044,21.5055555555556,1040,8.49,115.7,10.18,NA,11.3,2.7,2012-06-13
"74",2012-06-13 15:36:49,8.037,21.4277777777778,1035,8.41,104.9,9.25,NA,6.8,1.6,2012-06-13
"74",2012-06-13 15:37:09,9.048,21.4,1036,8.37,100.2,8.84,NA,5.4,1.3,2012-06-13
"74",2012-06-13 15:37:38,9.958,21.4,1036,8.36,98.3,8.67,NA,5.1,1.2,2012-06-13
"74",2012-06-13 15:38:06,14.95,21.2277777777778,1040,8.32,95.1,8.42,NA,4.4,1,2012-06-13
"74",2012-06-13 15:38:33,20.104,21.0944444444444,1063,8.29,95.3,8.46,NA,4.4,1,2012-06-13
"74",2012-06-13 15:39:18,29.847,20.8888888888889,1093,8.25,84.8,7.55,NA,3.3,0.8,2012-06-13
"74",2012-06-13 15:39:50,37.913,20.8333333333333,1103,8.23,82.1,7.32,NA,3.4,0.8,2012-06-13
"76",2012-06-13 15:52:55,1.035,25.19,1106,8.63,126.9,10.42,NA,16.1,3.8,2012-06-13
"76",2012-06-13 15:53:25,2.03,24.92,1108,8.62,126.4,10.43,NA,14.7,3.5,2012-06-13
"76",2012-06-13 15:53:56,3.073,24.17,1106,8.62,124.3,10.4,NA,16.1,3.8,2012-06-13
"76",2012-06-13 15:54:22,4.054,22.87,1098,8.65,125.5,10.76,NA,18.8,4.5,2012-06-13
"76",2012-06-13 15:54:45,5.02,22.76,1093,8.63,125.7,10.8,NA,19,4.5,2012-06-13
"76",2012-06-13 15:55:19,5.947,22.49,1092,8.59,121.9,10.53,NA,15.6,3.7,2012-06-13
"76",2012-06-13 15:55:53,7.04,22.04,1088,8.47,110.9,9.66,NA,10.3,2.4,2012-06-13
"76",2012-06-13 15:56:26,8.018,22.03,1092,8.42,103.8,9.04,NA,9,2.1,2012-06-13
"76",2012-06-13 15:56:57,9.046,21.99,1097,8.37,99.6,8.68,NA,7.1,1.7,2012-06-13
"76",2012-06-13 15:57:30,10.087,21.97,1089,8.4,99.6,8.69,NA,7.8,1.8,2012-06-13
"76",2012-06-13 15:57:54,11.092,21.96,1090,8.4,99.4,8.67,NA,5.9,1.4,2012-06-13
"76",2012-06-13 15:58:19,12.005,21.93,1094,8.39,97.9,8.54,NA,5.9,1.4,2012-06-13
"76",2012-06-13 15:58:41,12.98,21.87,1098,8.37,96.6,8.44,NA,5.1,1.2,2012-06-13
"76",2012-06-13 15:59:05,14.016,21.85,1100,8.37,94.7,8.28,NA,4.5,1.1,2012-06-13
"76",2012-06-13 15:59:29,14.977,21.79,1100,8.37,93.4,8.17,NA,4.1,1,2012-06-13
"76",2012-06-13 15:59:56,19.894,21.69,1097,8.37,92.4,8.1,NA,4.5,1.1,2012-06-13
"76",2012-06-13 16:00:35,30.152,20.87,1150,8.26,81.2,7.24,NA,2.7,0.6,2012-06-13
"76",2012-06-13 16:01:14,35.173,20.8,1164,8.22,76.4,6.81,NA,2.9,0.7,2012-06-13
"84",2012-06-13 16:14:42,1.073,24.68,1116,8.65,127.7,10.59,NA,6.5,1.5,2012-06-13
"84",2012-06-13 16:15:17,2.05,23.89,1113,8.65,127.6,10.73,NA,10.1,2.4,2012-06-13
"84",2012-06-13 16:15:42,3.074,23.59,1113,8.62,126.7,10.72,NA,13.4,3.2,2012-06-13
"84",2012-06-13 16:16:13,4.044,23.41,1114,8.62,126.4,10.73,NA,16.6,3.9,2012-06-13
"84",2012-06-13 16:16:33,5.011,23.48,1115,8.61,127.3,10.79,NA,17.4,4.1,2012-06-13
"84",2012-06-13 16:16:57,5.998,23.46,1114,8.61,128.3,10.87,NA,19.1,4.5,2012-06-13
"84",2012-06-13 16:17:17,7.013,23.23,1115,8.59,126.7,10.79,NA,17.1,4,2012-06-13
"84",2012-06-13 16:17:40,7.944,23.04,1117,8.57,123.5,10.56,NA,16.1,3.8,2012-06-13
"84",2012-06-13 16:18:07,8.99,22.92,1121,8.54,121.3,10.39,NA,15.7,3.7,2012-06-13
"84",2012-06-13 16:18:27,10.045,22.81,1122,8.52,118.9,10.2,NA,14.8,3.5,2012-06-13
"84",2012-06-13 16:18:44,11.051,22.74,1122,8.49,118.9,10.22,NA,14.7,3.5,2012-06-13
"84",2012-06-13 16:19:06,11.998,22.58,1122,8.46,119.2,10.27,NA,14.7,3.5,2012-06-13
"84",2012-06-13 16:19:24,12.961,22.52,1122,8.45,104.9,9.05,NA,7.7,1.8,2012-06-13
"84",2012-06-13 16:19:45,14.046,22.47,1122,8.43,101.6,8.78,NA,6,1.4,2012-06-13
"84",2012-06-13 16:20:07,15.014,22.43,1122,8.41,98.6,8.53,NA,5.9,1.4,2012-06-13
"84",2012-06-13 16:20:47,19.963,21.94,1123,8.33,88.5,7.72,NA,4.8,1.1,2012-06-13
"84",2012-06-13 16:21:49,30.011,20.71,1133,8.16,72.2,6.46,NA,2.4,0.6,2012-06-13
"84",2012-06-13 16:22:27,38.16,20.66,1366,8.02,62.8,5.62,NA,3.2,0.7,2012-06-13
"WSP",2012-06-13 16:38:45,1.029,24.72,974,8.67,133.6,11.07,NA,16.4,3.9,2012-06-13
"WSP",2012-06-13 16:39:27,2.029,25.11,981,8.69,135.2,11.13,NA,19,4.5,2012-06-13
"WSP",2012-06-13 16:40:10,3.038,27.25,1005,8.94,182.5,14.44,NA,36.7,8.7,2012-06-13
"WSP",2012-06-13 16:40:40,4.096,27.68,1001,9.04,208.2,16.35,NA,43.9,10.4,2012-06-13
"WSP",2012-06-13 16:41:10,5.057,27,1025,8.95,193.1,15.35,NA,27.3,6.5,2012-06-13
"WSP",2012-06-13 16:41:40,6.062,24.6,922,8.59,132.4,11,NA,13.3,3.1,2012-06-13
"WSP",2012-06-13 16:42:09,7.021,23.31,969,8.46,108.4,9.22,NA,13.6,3.2,2012-06-13
"WSP",2012-06-13 16:42:40,8.012,23.02,973,8.26,91.3,7.8,NA,11.8,2.8,2012-06-13
"WSP",2012-06-13 16:43:06,9.037,22.74,987,8.15,91.6,7.88,NA,11.8,2.8,2012-06-13
"WSP",2012-06-13 16:43:36,10.121,22.61,990,8.06,70.5,6.07,NA,6.2,1.5,2012-06-13
"WSP",2012-06-13 16:44:11,10.96,22.49,971,7.98,63.4,5.48,NA,5,1.2,2012-06-13
"WSP",2012-06-13 16:44:43,11.958,22.61,1066,8.12,73.3,6.32,NA,5.4,1.3,2012-06-13
"WSP",2012-06-13 16:45:08,13.002,22.59,1082,8.16,76.6,6.6,NA,5.4,1.3,2012-06-13
"WSP",2012-06-13 16:45:35,14.014,22.38,1037,8.05,68,5.89,NA,5.1,1.2,2012-06-13
"16",2012-07-12 09:21:25,0.985,22.65,125,7.28,93,8.03,NA,5.1,1.2,2012-07-12
"16",2012-07-12 09:22:15,2.443,22.65,125,7.25,92.9,8.02,NA,4.9,1.2,2012-07-12
"16",2012-07-12 09:22:44,5.01,22.65,125,7.24,92.8,8.01,NA,4.8,1.1,2012-07-12
"16",2012-07-12 09:23:30,10.193,22.64,125,7.19,92.7,8.01,NA,5.1,1.2,2012-07-12
"16",2012-07-12 09:24:30,19.943,22.63,126,7.16,92.2,7.96,NA,5.2,1.2,2012-07-12
"16",2012-07-12 09:25:53,27.889,22.62,127,7.13,91.6,7.92,NA,6.3,1.5,2012-07-12
"34",2012-07-12 09:53:14,1.108,22.84,125,6.97,92.6,7.97,NA,4.2,1,2012-07-12
"34",2012-07-12 09:53:42,1.86,22.84,125,6.95,92.6,7.96,NA,4,0.9,2012-07-12
"34",2012-07-12 09:54:07,3.255,22.83,125,6.93,92.5,7.96,NA,4.3,1,2012-07-12
"34",2012-07-12 09:54:36,4.021,22.81,125,6.92,92.4,7.95,NA,4.3,1,2012-07-12
"34",2012-07-12 09:55:01,4.883,22.77,125,6.92,92,7.93,NA,4.1,1,2012-07-12
"34",2012-07-12 09:55:43,10.498,22.73,125,6.9,91.6,7.89,NA,4.4,1.1,2012-07-12
"34",2012-07-12 09:57:52,19.972,22.71,126,6.88,90.8,7.83,NA,3.7,0.9,2012-07-12
"34",2012-07-12 09:56:19,20.11,22.71,126,6.86,91,7.85,NA,4.1,1,2012-07-12
"34",2012-07-12 09:57:15,30.456,22.69,126,6.86,90.6,7.82,NA,4.3,1,2012-07-12
"34",2012-07-12 09:56:54,30.877,22.69,126,6.82,90.8,7.83,NA,4.3,1,2012-07-12
"44",2012-07-12 10:29:23,0.983,22.65,135,6.88,91.4,7.89,NA,4.3,1,2012-07-12
"44",2012-07-12 10:22:36,1.076,22.62,136,6.91,91.7,7.92,NA,4.5,1.1,2012-07-12
"44",2012-07-12 10:23:00,1.952,22.63,136,6.84,91.7,7.92,NA,4.5,1.1,2012-07-12
"44",2012-07-12 10:23:23,3.036,22.63,136,6.8,91.6,7.91,NA,5,1.2,2012-07-12
"44",2012-07-12 10:23:50,3.968,22.63,136,6.77,91.5,7.91,NA,4.5,1.1,2012-07-12
"44",2012-07-12 10:24:12,5.006,22.62,136,6.75,91.4,7.9,NA,4.8,1.1,2012-07-12
"44",2012-07-12 10:24:46,7.736,22.63,136,6.74,91.4,7.89,NA,4.8,1.1,2012-07-12
"44",2012-07-12 10:25:54,9.978,22.61,135,6.76,91.1,7.87,NA,4.4,1.1,2012-07-12
"44",2012-07-12 10:28:55,10.202,22.63,135,6.85,91,7.86,NA,4.6,1.1,2012-07-12
"44",2012-07-12 10:26:25,15.153,22.63,135,6.73,91.1,7.87,NA,4.5,1.1,2012-07-12
"44",2012-07-12 10:26:50,20.115,22.62,135,6.73,90.9,7.85,NA,4.9,1.2,2012-07-12
"44",2012-07-12 10:28:30,20.41,22.62,135,6.82,90.6,7.83,NA,4.6,1.1,2012-07-12
"44",2012-07-12 10:27:28,30.996,22.62,135,6.72,90.5,7.82,NA,5.2,1.2,2012-07-12
"44",2012-07-12 10:27:57,40.111,22.62,135,6.72,90.3,7.8,NA,5.1,1.2,2012-07-12
"Pro",2012-07-12 10:52:09,1.021,23.62,190,7.32,94.7,8.03,NA,9.6,2.3,2012-07-12
"Pro",2012-07-12 10:58:14,1.191,23.55,190,7.31,94.3,8.01,NA,10,2.4,2012-07-12
"Pro",2012-07-12 10:52:38,2.028,23.6,190,7.28,94.6,8.02,NA,10.2,2.4,2012-07-12
"Pro",2012-07-12 10:53:03,2.989,23.58,190,7.26,94.6,8.02,NA,9.5,2.2,2012-07-12
"Pro",2012-07-12 10:53:31,3.977,23.57,190,7.26,94.5,8.02,NA,10.3,2.4,2012-07-12
"Pro",2012-07-12 10:53:59,4.973,23.57,190,7.25,94.4,8.01,NA,10.1,2.4,2012-07-12
"Pro",2012-07-12 10:57:46,5.068,23.57,190,7.3,94.3,8,NA,9.5,2.3,2012-07-12
"Pro",2012-07-12 10:54:30,7.477,23.55,190,7.25,94.3,8,NA,9.9,2.4,2012-07-12
"Pro",2012-07-12 10:57:15,9.985,23.56,190,7.31,94.1,7.99,NA,10.1,2.4,2012-07-12
"Pro",2012-07-12 10:55:20,10.138,23.54,190,7.25,94.1,7.99,NA,10.6,2.5,2012-07-12
"Pro",2012-07-12 10:55:59,14.942,23.57,190,7.21,94.1,7.98,NA,9.9,2.4,2012-07-12
"Pro",2012-07-12 10:56:30,20.026,23.57,191,7.23,94.1,7.98,NA,9.9,2.4,2012-07-12
"56",2012-07-12 11:50:35,1.013,23,197,6.57,94.9,8.14,NA,5.5,1.3,2012-07-12
"56",2012-07-12 11:51:09,2.005,22.99,196,6.51,94.8,8.13,NA,5.2,1.2,2012-07-12
"56",2012-07-12 11:51:40,2.993,22.96,196,6.49,94.6,8.12,NA,5.5,1.3,2012-07-12
"56",2012-07-12 11:52:08,4.002,22.94,195,6.47,94.6,8.12,NA,5.4,1.3,2012-07-12
"56",2012-07-12 11:52:34,4.985,22.96,196,6.46,94.6,8.12,NA,5.4,1.3,2012-07-12
"56",2012-07-12 11:53:19,7.515,22.91,193,6.48,94.7,8.13,NA,5.4,1.3,2012-07-12
"56",2012-07-12 11:53:56,10.006,22.84,190,6.45,94,8.08,NA,4.6,1.1,2012-07-12
"56",2012-07-12 11:57:36,10.101,22.87,188,6.54,93.9,8.07,NA,5.4,1.3,2012-07-12
"56",2012-07-12 11:54:39,14.995,22.82,188,6.44,93.7,8.06,NA,5,1.2,2012-07-12
"56",2012-07-12 11:55:21,20.093,22.81,189,6.44,93.5,8.05,NA,4.9,1.2,2012-07-12
"56",2012-07-12 11:56:13,30.043,22.81,189,6.44,93.2,8.02,NA,5.3,1.3,2012-07-12
"56",2012-07-12 11:56:55,35.156,22.81,189,6.46,93.1,8.01,NA,5.5,1.3,2012-07-12
"62",2012-07-12 12:12:39,1.037,23.26,424,7.19,99.8,8.51,NA,7.7,1.8,2012-07-12
"62",2012-07-12 12:13:09,1.989,23.29,424,7.13,99.9,8.51,NA,8.2,2,2012-07-12
"62",2012-07-12 12:13:40,2.994,23.17,426,7.08,99.3,8.48,NA,7.4,1.8,2012-07-12
"62",2012-07-12 12:20:34,3.017,23.32,424,7.18,97.6,8.31,NA,6.7,1.6,2012-07-12
"62",2012-07-12 12:20:52,3.056,23.35,426,7.22,99.7,8.48,NA,6.7,1.6,2012-07-12
"62",2012-07-12 12:14:07,4.041,23.23,427,7.07,99.4,8.48,NA,7.2,1.7,2012-07-12
"62",2012-07-12 12:14:42,5,23.24,427,7.06,99.1,8.45,NA,6.6,1.6,2012-07-12
"62",2012-07-12 12:15:31,7.471,23.2,428,7.06,99,8.45,NA,6.8,1.6,2012-07-12
"62",2012-07-12 12:16:04,10.02,23.04,423,7.05,98.2,8.41,NA,6.8,1.6,2012-07-12
"62",2012-07-12 12:20:01,10.056,23.04,425,7.13,97.7,8.37,NA,6.8,1.6,2012-07-12
"62",2012-07-12 12:16:44,15.03,23.01,422,7.04,97.7,8.37,NA,7.1,1.7,2012-07-12
"62",2012-07-12 12:17:20,20.089,22.98,424,7.03,97.3,8.34,NA,6.5,1.5,2012-07-12
"62",2012-07-12 12:17:46,24.966,22.97,425,7.03,97.1,8.32,NA,6.5,1.5,2012-07-12
"62",2012-07-12 12:18:26,30.03,22.98,424,7.05,96.9,8.31,NA,7.4,1.8,2012-07-12
"62",2012-07-12 12:19:10,35.055,22.97,427,7.06,96.7,8.29,NA,6.8,1.6,2012-07-12
"66",2012-07-12 12:36:32,0.995,23.36,675,7.65,104.6,8.9,NA,8.9,2.1,2012-07-12
"66",2012-07-12 12:37:06,2.051,23.75,674,7.58,107.3,9.06,NA,13.1,3.1,2012-07-12
"66",2012-07-12 12:37:42,3.11,23.63,673,7.52,108.1,9.15,NA,12.1,2.9,2012-07-12
"66",2012-07-12 12:38:09,4.032,23.63,675,7.48,107.2,9.07,NA,11.1,2.6,2012-07-12
"66",2012-07-12 12:38:46,5.031,23.3,675,7.41,104,8.85,NA,8.6,2,2012-07-12
"66",2012-07-12 12:39:30,7.623,23.18,670,7.34,101.7,8.68,NA,7.2,1.7,2012-07-12
"66",2012-07-12 12:40:08,10.073,23.11,673,7.29,100.4,8.58,NA,7.4,1.8,2012-07-12
"66",2012-07-12 12:40:48,15.011,23.01,679,7.26,99.2,8.5,NA,7.4,1.7,2012-07-12
"66",2012-07-12 12:41:33,20.075,23.01,680,7.24,98.8,8.46,NA,7.4,1.8,2012-07-12
"66",2012-07-12 12:42:02,25.184,22.98,686,7.23,98.3,8.42,NA,7.4,1.8,2012-07-12
"66",2012-07-12 12:42:34,30.117,22.96,688,7.23,97.9,8.39,NA,7.8,1.9,2012-07-12
"66",2012-07-12 12:43:06,35.037,22.95,690,7.23,97.6,8.37,NA,8.1,1.9,2012-07-12
"70",2012-07-12 13:00:21,1.093,26.04,963,8.11,146.2,11.83,NA,26,6.2,2012-07-12
"70",2012-07-12 13:01:04,2.014,25.53,959,7.98,142.1,11.6,NA,25.8,6.1,2012-07-12
"70",2012-07-12 13:01:30,2.997,24.77,949,7.86,134.9,11.17,NA,19.6,4.7,2012-07-12
"70",2012-07-12 13:07:30,3.007,25.89,1003,7.6,122.1,9.9,NA,14.7,3.5,2012-07-12
"70",2012-07-12 13:02:04,4.005,24.07,942,7.62,118,9.89,NA,10.1,2.4,2012-07-12
"70",2012-07-12 13:02:40,5.052,24.05,955,7.58,115.2,9.56,NA,12.2,2.9,2012-07-12
"70",2012-07-12 13:03:12,7.443,23.85,953,7.53,116.2,9.75,NA,12.2,2.9,2012-07-12
"70",2012-07-12 13:03:46,10.003,23.6,959,7.32,105.3,8.91,NA,7.2,1.7,2012-07-12
"70",2012-07-12 13:06:46,10.049,23.72,980,7.19,97,8.19,NA,7.8,1.9,2012-07-12
"70",2012-07-12 13:04:29,15.039,23.33,970,7.18,96.6,8.21,NA,6.6,1.6,2012-07-12
"70",2012-07-12 13:05:07,20.132,23.22,975,7.11,92.5,7.88,NA,6,1.4,2012-07-12
"70",2012-07-12 13:05:57,24.57,23.14,978,7.06,88,7.51,NA,6,2.3,2012-07-12
"74",2012-07-12 13:19:10,0.966,27.77,1097,8.1,132.4,10.38,NA,8,1.9,2012-07-12
"74",2012-07-12 13:19:33,2.095,27.38,1094,8.08,131.6,10.39,NA,9.7,2.3,2012-07-12
"74",2012-07-12 13:20:08,3.024,26.62,1091,8.04,135.1,10.81,NA,12.1,2.9,2012-07-12
"74",2012-07-12 13:20:38,3.998,26.28,1090,7.97,137.1,11.03,NA,13.1,3.1,2012-07-12
"74",2012-07-12 13:21:14,5.017,26.14,1085,7.89,138.1,11.15,NA,12.3,2.9,2012-07-12
"74",2012-07-12 13:21:54,7.472,24.97,1082,7.66,120.7,9.95,NA,12.4,3,2012-07-12
"74",2012-07-12 13:22:31,10.022,24.51,1070,7.48,109.1,9.07,NA,11.2,2.7,2012-07-12
