Year,Month,DissAmmonia_RL,DissNitrateNitrite_RL,DissOrthophos_RL
2015,9,0.01,0.01,0.01
2015,8,0.01,0.01,0.01
2015,7,0.01,0.01,0.01
2015,6,0.01,0.01,0.01
2015,5,0.01,0.01,0.01
2015,4,0.01,0.01,0.01
2015,3,0.01,0.01,0.01
2015,2,0.01,0.01,0.01
2015,1,0.01,0.01,0.01
2014,12,0.01,0.01,0.01
2014,11,0.01,0.01,0.01
2014,10,0.01,0.01,0.01
2014,9,0.01,0.01,0.01
2014,8,0.01,0.01,0.01
2014,7,0.01,0.01,0.01
2014,6,0.01,0.01,0.01
2014,5,0.01,0.01,0.01
2014,4,0.01,0.01,0.01
2014,3,0.01,0.01,0.01
2014,2,0.01,0.01,0.01
2014,1,0.01,0.01,0.01
2013,12,0.01,0.01,0.01
2013,11,0.01,0.01,0.01
2013,10,0.01,0.01,0.01
2013,9,0.01,0.01,0.01
2013,8,0.01,0.01,0.01
2013,7,0.01,0.01,0.01
2013,6,0.01,0.01,0.01
2013,5,0.01,0.01,0.01
2013,4,0.01,0.01,0.01
2013,3,0.01,0.01,0.01
2013,2,0.01,0.01,0.01
2013,1,0.01,0.01,0.01
2012,12,0.01,0.01,0.01
2012,11,0.01,0.01,0.01
2012,10,0.01,0.01,0.01
2012,9,0.01,0.01,0.01
2012,8,0.01,0.01,0.01
2012,7,0.01,0.01,0.01
2012,6,0.01,0.01,0.01
2012,5,0.01,0.01,0.01
2012,4,0.01,0.01,0.01
2012,3,0.01,0.01,0.01
2012,2,0.01,0.01,0.01
2012,1,0.01,0.01,0.01
2011,12,0.01,0.01,0.01
2011,11,0.01,0.01,0.01
2011,10,0.01,0.01,0.01
2011,9,0.01,0.01,0.01
2011,8,0.01,0.01,0.01
2011,7,0.01,0.01,0.01
2011,6,0.01,0.01,0.01
2011,5,0.01,0.01,0.01
2011,4,0.01,0.01,0.01
2011,3,0.01,0.01,0.01
2011,2,0.01,0.01,0.01
2011,1,0.01,0.01,0.01
2010,12,0.01,0.01,0.01
