Survey,Abbreviation,Agency,Survey_focus,Start_year,Season,Frequency,Data_source,Surface_sample_depth,Bottom_sample_depth
20-mm Survey,20mm,CDFW,Fish,1995,Mar-Jul,2X monthly,https://portal.edirepository.org/nis/metadataviewer?packageid=edi.535.4,Surface bucket,NA
San Francisco Bay Study,Baystudy,CDFW,Fish,1980,All year,Monthly,https://filelib.wildlife.ca.gov/Public/BayStudy/Access_Database/,0 - 1 m,0.5 m
Delta Juvenile Fish Monitoring Program,DJFMP,USFWS,Fish,1976,All year,3X weekly,https://portal.edirepository.org/nis/metadataviewer?packageid=edi.244.9,0.3 m or bucket if choppy,NA
Directed Outflow Project Lower Trophic Study,DOP,USBR/ICF,Zooplankton,2017,"Sep-Nov in 2017-2018, Apr-Nov in 2019-present","Every 2 weeks in 2017, Weekly in 2018-present",https://portal.edirepository.org/nis/metadataviewer?packageid=edi.1187.4,1 m,NA
Enhanced Delta Smelt Monitoring,EDSM,USFWS,Fish,2016,Jan-Mar & Jul-Dec,Weekly,https://portal.edirepository.org/nis/metadataviewer?packageid=edi.415.8,0.3 m or bucket if choppy,0.3 ? 0.6 m
Environmental Monitoring Program,EMP,DWR,Water quality,1975,All year,Monthly,https://portal.edirepository.org/nis/metadataviewer?packageid=edi.458.9,0.9 m,0.9 m
Fall Midwater Trawl,FMWT,CDFW,Fish,1967,Sep-Dec,Monthly,https://filelib.wildlife.ca.gov/Public/TownetFallMidwaterTrawl/FMWT%20Data/,Surface bucket,0.3 m
North Central Region Office monitoring,NCRO,DWR,Water quality,1999,All year,Monthly,https://wdl.water.ca.gov/waterdatalibrary/WaterQualityDataLib.aspx,0 - 1 m,NA
Stockton Dissolved Oxygen survey,SDO,DWR,Water quality,1997,Jun-Nov,2X monthly,https://portal.edirepository.org/nis/metadataviewer?packageid=edi.276.2,1 m,1 m
Spring Kodiak Trawl,SKT,CDFW,Fish,2002,Jan-May & Dec,Monthly,https://portal.edirepository.org/nis/metadataviewer?packageid=edi.527.4,Surface bucket,NA
Smelt Larva Survey,SLS,CDFW,Fish,2009,Jan-Mar,Every 2 weeks,https://portal.edirepository.org/nis/metadataviewer?packageid=edi.534.4,Surface bucket,Few inches
Summer Townet Survey,STN,CDFW,Fish,1959,Jun-Aug,2X monthly,https://filelib.wildlife.ca.gov/Public/TownetFallMidwaterTrawl/TNS%20MS%20Access%20Data/TNS%20data/,Surface bucket,0.3 m
Suisun Marsh Fish Study,Suisun,UC Davis,Fish,1979,All year,Monthly,Personal communication,0.3 m,NA
Sacramento Deepwater Shipping Channel Survey,USBR,USBR,Water quality,2012,All year,Monthly,Personal communication,0.3 m (recorded),0.3 m (recorded)
USGS California Water Science Center discrete water quality data,USGS_CAWSC,USGS,Water quality,1971,All year,Various,https://doi.org/10.5066/F7P55KJN,1 m,NA
San Francisco Bay Survey,USGS_SFBS,USGS,Water quality,1969,All year,Monthly,https://doi.org/10.5066/F7TQ5ZPR; https://doi.org/10.5066/F7D21WGF,0.5 - 1 m (recorded),0.3 m (recorded)
Yolo Bypass Fish Monitoring Program,YBFMP,DWR,Fish,1998,All year,Weekly,https://portal.edirepository.org/nis/metadataviewer?packageid=edi.233.3; https://portal.edirepository.org/nis/metadataviewer?packageid=edi.494.2,0 - 1 m,NA
