Source,Station,Latitude,Longitude,Date,Datetime,Chlorophyll,DissAmmonia,DissNitrateNitrite,DOC,DissOrthophos
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1979-09-13,1979-09-13T17:00:00Z,NA,NA,0.09,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-03-25,2009-03-25T17:25:00Z,NA,0.01,1.33,4.32,0.09
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1979-10-15,1979-10-15T22:00:00Z,NA,0.1,0.7,4.1,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1979-05-15,1979-05-15T17:45:00Z,NA,NA,NA,2.4,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2018-07-11,2018-07-11T17:00:00Z,NA,0.02,0.971,2.28,0.052
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1979-10-17,1979-10-17T17:00:00Z,NA,0.21,0.12,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2001-10-04,2001-10-04T18:00:00Z,10.3,NA,1.91,3.3,0.11
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1979-07-24,1979-07-24T18:00:00Z,NA,NA,NA,4.6,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1980-07-07,1980-07-07T20:00:00Z,NA,0.03,0.89,4.4,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-10-27,2009-10-27T17:25:00Z,NA,NA,0.99,3.05,0.09
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2001-07-12,2001-07-12T17:00:00Z,25.4,NA,1.85,2.7,0.08
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1980-09-17,1980-09-17T17:30:00Z,NA,0.08,0.09,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1980-05-28,1980-05-28T20:00:00Z,NA,0.14,0.15,3.4,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1992-07-15,1992-07-15T18:20:00Z,NA,NA,0.92,NA,0.06
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1992-07-15,1992-07-15T20:30:00Z,NA,0.02,0.98,4.3,0.08
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2009-05-21,2009-05-21T19:30:00Z,NA,NA,0.041,1.68,0.029
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1980-06-23,1980-06-23T17:00:00Z,NA,0.13,0.11,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-03-10,2009-03-10T16:40:00Z,NA,0.16,1.39,NA,0.18
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1980-06-05,1980-06-05T19:30:00Z,NA,NA,0.39,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1980-10-14,1980-10-14T22:35:00Z,NA,0.1,0.6,NA,0.07
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1992-06-24,1992-06-24T21:15:00Z,NA,NA,0.96,5.2,0.09
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1980-08-20,1980-08-20T18:00:00Z,NA,0.06,0.04,3.6,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1980-10-22,1980-10-22T17:30:00Z,NA,0.1,0.16,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1980-08-01,1980-08-01T19:00:00Z,NA,0.09,2.2,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-07-23,2009-07-23T17:10:00Z,NA,NA,0.86,NA,0.06
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1980-05-16,1980-05-16T18:15:00Z,NA,0.02,0.27,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-06-22,2016-06-22T16:00:00Z,NA,0.01,0.06,2.19,0.02
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2001-06-28,2001-06-28T18:50:00Z,21.7,NA,2,2.7,0.09
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1980-04-29,1980-04-29T17:30:00Z,NA,0.15,0.13,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1980-10-01,1980-10-01T18:00:00Z,NA,0.03,0.9,6.2,0.11
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2016-03-29,2016-03-29T18:30:00Z,NA,NA,0.34,7.1,0.18
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2013-05-30,2013-05-30T18:00:00Z,NA,NA,0.12,1.64,0.04
