StationName,DateTime,Analyte,DataStatus,ShortStationName,StationNumber,SampleCode,Date,AnalyteAbbr,Result,ResultSign,Units,Method,Depth,Description,Notes,Latitude,Longitude
Bethel Island near Piper Slough,2014-10-23 12:00:00,Dissolved Bromide,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF1014B1493,2014-10-23,DissBromide,0.83,=,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-10-23 12:00:00,Dissolved Chloride,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF1014B1493,2014-10-23,DissChloride,280,=,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-10-23 12:00:00,Dissolved Chloride,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF1014B1493,2014-10-23,DissChloride,281,=,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-11-18 12:30:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF1114B1606,2014-11-18,DOC,2.6,=,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2014-11-18 12:30:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF1114B1606,2014-11-18,DOC,2.7,=,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-11-18 12:30:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF1114B1606,2014-11-18,TOC,2.7,=,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-11-18 12:30:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF1114B1606,2014-11-18,TOC,2.7,=,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2015-07-15 11:18:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0715B0964,2015-07-15,DOC,3.7,=,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2015-07-15 11:18:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0715B0964,2015-07-15,DOC,3.7,=,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2015-07-15 11:18:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0715B0964,2015-07-15,TOC,3.9,=,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2015-07-15 11:18:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0715B0964,2015-07-15,TOC,3.9,=,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1332,2015-09-15,DOC,3.8,=,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1332,2015-09-15,DOC,3.8,=,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Field Specific Conductance,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1332,2015-09-15,Conductivity_top,941,=,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Field Specific Conductance,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1323,2015-09-15,Conductivity_top,941,=,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Field Turbidity,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1332,2015-09-15,Turbidity,1.43,=,N.T.U.,EPA 180.1 (Field) [D-2]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Field Turbidity,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1323,2015-09-15,Turbidity,1.43,=,N.T.U.,EPA 180.1 (Field) [D-2]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Field Water Temperature,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1323,2015-09-15,Temperature,22.4,=,°C,EPA 170.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Field Water Temperature,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1332,2015-09-15,Temperature,22.4,=,°C,EPA 170.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Field pH,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1323,2015-09-15,pH,8.94,=,pH Units,EPA 150.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Field pH,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1332,2015-09-15,pH,8.94,=,pH Units,EPA 150.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1332,2015-09-15,TOC,3.6,=,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2015-09-15 11:00:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0915B1332,2015-09-15,TOC,3.6,=,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2016-01-26 11:30:00,Total Phosphorus,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0116B0184,2016-01-26,TotPhos,0.1,=,mg/L as P,EPA 365.4 DWR Modified [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2016-01-26 11:30:00,Total Phosphorus,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0116B0184,2016-01-26,TotPhos,0.09,=,mg/L as P,EPA 365.4 DWR Modified [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2016-06-30 10:42:00,Field Specific Conductance,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0616B1221,2016-06-30,Conductivity_top,326.5,=,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2016-06-30 10:42:00,Field Specific Conductance,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0616B1230,2016-06-30,Conductivity_top,326.5,=,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2016-06-30 10:42:00,Field Turbidity,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0616B1221,2016-06-30,Turbidity,4.38,=,N.T.U.,EPA 180.1 (Field) [D-2]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2016-06-30 10:42:00,Field Turbidity,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0616B1230,2016-06-30,Turbidity,4.38,=,N.T.U.,EPA 180.1 (Field) [D-2]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2016-06-30 10:42:00,Field Water Temperature,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0616B1221,2016-06-30,Temperature,24,=,°C,EPA 170.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2016-06-30 10:42:00,Field Water Temperature,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0616B1230,2016-06-30,Temperature,24,=,°C,EPA 170.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2016-06-30 10:42:00,Field pH,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0616B1230,2016-06-30,pH,8.2,=,pH Units,EPA 150.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2016-06-30 10:42:00,Field pH,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0616B1221,2016-06-30,pH,8.2,=,pH Units,EPA 150.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2016-07-22 11:30:00,Total Suspended Solids,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0716B1376,2016-07-22,TSS,2,=,mg/L,EPA 160.2 [1]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2016-07-22 11:30:00,Total Suspended Solids,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0716B1376,2016-07-22,TSS,2,=,mg/L,EPA 160.2 [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-01-30 12:45:00,Field Specific Conductance,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0117B0283,2017-01-30,Conductivity_top,202.3,=,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-01-30 12:45:00,Field Specific Conductance,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0117B0269,2017-01-30,Conductivity_top,202.3,=,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-01-30 12:45:00,Field Turbidity,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0117B0283,2017-01-30,Turbidity,18.2,=,N.T.U.,EPA 180.1 (Field) [D-2]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-01-30 12:45:00,Field Turbidity,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0117B0269,2017-01-30,Turbidity,18.2,=,N.T.U.,EPA 180.1 (Field) [D-2]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-01-30 12:45:00,Field Water Temperature,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0117B0283,2017-01-30,Temperature,9.9,=,°C,EPA 170.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-01-30 12:45:00,Field Water Temperature,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0117B0269,2017-01-30,Temperature,9.9,=,°C,EPA 170.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-01-30 12:45:00,Field pH,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0117B0269,2017-01-30,pH,7.41,=,pH Units,EPA 150.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-01-30 12:45:00,Field pH,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0117B0283,2017-01-30,pH,7.41,=,pH Units,EPA 150.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-03-15 11:04:00,Field Specific Conductance,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0317B0642,2017-03-15,Conductivity_top,195.3,=,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-03-15 11:04:00,Field Specific Conductance,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0317B0617,2017-03-15,Conductivity_top,195.3,=,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-03-15 11:04:00,Field Turbidity,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0317B0642,2017-03-15,Turbidity,6.27,=,N.T.U.,EPA 180.1 (Field) [D-2]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-03-15 11:04:00,Field Turbidity,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0317B0617,2017-03-15,Turbidity,6.27,=,N.T.U.,EPA 180.1 (Field) [D-2]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-03-15 11:04:00,Field Water Temperature,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0317B0642,2017-03-15,Temperature,16,=,°C,EPA 170.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-03-15 11:04:00,Field Water Temperature,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0317B0617,2017-03-15,Temperature,16,=,°C,EPA 170.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-03-15 11:04:00,Field pH,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0317B0642,2017-03-15,pH,7.59,=,pH Units,EPA 150.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2017-03-15 11:04:00,Field pH,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0317B0617,2017-03-15,pH,7.59,=,pH Units,EPA 150.1 (Field) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2019-09-05 09:43:00,Total Suspended Solids,"3500 - Public, Reviewed and Validated",Bethel near Piper,B9D80251385,CF0919B0876,2019-09-05,TSS,2,=,mg/L,EPA 160.2 [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2019-09-05 09:43:00,Total Suspended Solids,"3500 - Public, Reviewed and Validated",Bethel near Piper,B9D80251385,CF0919B0876,2019-09-05,TSS,2,=,mg/L,EPA 160.2 [1]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2021-05-20 10:47:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0521B0449,2021-05-20,DOC,3.4,=,mg/L as C,EPA 415.3 (D) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2021-05-20 10:47:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0521B0449,2021-05-20,DOC,3.2,=,mg/L as C,EPA 415.3 (D) [1]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2021-05-20 10:47:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0521B0449,2021-05-20,TOC,3.6,=,mg/L as C,EPA 415.3 (T) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2021-05-20 10:47:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0521B0449,2021-05-20,TOC,3.4,=,mg/L as C,EPA 415.3 (T) [1]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2021-08-12 11:32:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0821B0705,2021-08-12,DOC,3.7,=,mg/L as C,EPA 415.3 (D) [1]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2021-08-12 11:32:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0821B0705,2021-08-12,DOC,3.8,=,mg/L as C,EPA 415.3 (D) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2021-08-12 11:32:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0821B0705,2021-08-12,TOC,3.7,=,mg/L as C,EPA 415.3 (T) [1]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2021-08-12 11:32:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0821B0705,2021-08-12,TOC,3.8,=,mg/L as C,EPA 415.3 (T) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2021-12-30 13:58:00,Dissolved Ammonia,"3500 - Public, Reviewed and Validated",Bethel near Piper,B9D80251385,CF1221B1213,2021-12-30,DissAmmonia,0.133,=,mg/L as N,EPA 350.1 (D) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2021-12-30 13:58:00,Dissolved Ammonia,"3500 - Public, Reviewed and Validated",Bethel near Piper,B9D80251385,CF1221B1213,2021-12-30,DissAmmonia,0.13,=,mg/L as N,EPA 350.1 (D) [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2021-12-30 13:58:00,Dissolved Nitrate + Nitrite,"3500 - Public, Reviewed and Validated",Bethel near Piper,B9D80251385,CF1221B1213,2021-12-30,DissNitrateNitrite,0.515,=,mg/L as N,Std Method 4500-NO3-F [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2021-12-30 13:58:00,Dissolved Nitrate + Nitrite,"3500 - Public, Reviewed and Validated",Bethel near Piper,B9D80251385,CF1221B1213,2021-12-30,DissNitrateNitrite,0.517,=,mg/L as N,Std Method 4500-NO3-F [1]*,1 Meters,NA,NA,38.041092,-121.632187
COP/MSS/Paradise Cut,2021-09-02 11:04:00,Total Alkalinity,"1000 - Non-Public, Review Status Unknown",(User Defined),(UserDefined),CF0921B0755,2021-09-02,TotAlkalinity,73.9,=,mg/L as CaCO3,Std Method 2320 B [1]*,1 Feet,NA,NA,NA,NA
COP/MSS/Paradise Cut,2021-09-02 11:04:00,Total Alkalinity,"1000 - Non-Public, Review Status Unknown",(User Defined),(UserDefined),CF0921B0755,2021-09-02,TotAlkalinity,74.9,=,mg/L as CaCO3,Std Method 2320 B [1]*,1 Feet,NA,NA,NA,NA
COP/MSS/Paradise Cut,2021-09-02 15:28:00,Dissolved Chloride,"1000 - Non-Public, Review Status Unknown",(User Defined),(UserDefined),CF0921B0754,2021-09-02,DissChloride,501,=,mg/L,EPA 300.0 [1]*,1 Feet,NA,NA,NA,NA
COP/MSS/Paradise Cut,2021-09-02 15:28:00,Dissolved Chloride,"1000 - Non-Public, Review Status Unknown",(User Defined),(UserDefined),CF0921B0754,2021-09-02,DissChloride,526,=,mg/L,EPA 300.0 [1]*,1 Feet,NA,NA,NA,NA
COP/MSS/Paradise Cut,2021-09-02 15:28:00,Total Dissolved Solids,"1000 - Non-Public, Review Status Unknown",(User Defined),(UserDefined),CF0921B0754,2021-09-02,TDS,1574,=,mg/L,Std Method 2540 C [1]*,1 Feet,NA,NA,NA,NA
COP/MSS/Paradise Cut,2021-09-02 15:28:00,Total Dissolved Solids,"1000 - Non-Public, Review Status Unknown",(User Defined),(UserDefined),CF0921B0754,2021-09-02,TDS,1575,=,mg/L,Std Method 2540 C [1]*,1 Feet,NA,NA,NA,NA
COP/MSS/Paradise Cut,2021-09-02 16:18:00,Dissolved Calcium,"1000 - Non-Public, Review Status Unknown",(User Defined),(UserDefined),CF0921B0756,2021-09-02,DissCalcium,59,=,mg/L,EPA 200.7 (D) [1]*,1 Feet,NA,NA,NA,NA
COP/MSS/Paradise Cut,2021-09-02 16:18:00,Dissolved Calcium,"1000 - Non-Public, Review Status Unknown",(User Defined),(UserDefined),CF0921B0756,2021-09-02,DissCalcium,59.3,=,mg/L,EPA 200.7 (D) [1]*,1 Feet,NA,Duplicate,NA,NA
COP/MSS/Paradise Cut,2021-09-29 12:13:00,Dissolved Calcium,"1000 - Non-Public, Review Status Unknown",(User Defined),(UserDefined),CF0921B0847,2021-09-29,DissCalcium,56.2,=,mg/L,EPA 200.7 (D) [1]*,1 Feet,NA,NA,NA,NA
COP/MSS/Paradise Cut,2021-09-29 12:13:00,Dissolved Calcium,"1000 - Non-Public, Review Status Unknown",(User Defined),(UserDefined),CF0921B0847,2021-09-29,DissCalcium,56.1,=,mg/L,EPA 200.7 (D) [1]*,1 Feet,NA,Duplicate,NA,NA
Contra Costa PP Number 01,2014-06-25 11:45:00,Dissolved Chloride,"3000 - Public, Review Status Unknown",CONCOSPP1,B9591000,CF0614B0793,2014-06-25,DissChloride,138,=,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,NA,NA,NA,NA
Contra Costa PP Number 01,2014-06-25 11:45:00,Dissolved Chloride,"3000 - Public, Review Status Unknown",CONCOSPP1,B9591000,CF0614B0793,2014-06-25,DissChloride,137,=,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,NA,NA,NA,NA
Contra Costa PP Number 01,2015-02-11 11:45:00,Dissolved Bromide,"3000 - Public, Review Status Unknown",CONCOSPP1,B9591000,CF0215B0160,2015-02-11,DissBromide,1.03,=,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,NA,NA,NA,NA
Contra Costa PP Number 01,2015-02-11 11:45:00,Dissolved Bromide,"3000 - Public, Review Status Unknown",CONCOSPP1,B9591000,CF0215B0160,2015-02-11,DissBromide,1.04,=,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,NA,NA,NA,NA
