StationName,DateTime,Analyte,DataStatus,ShortStationName,StationNumber,SampleCode,Date,AnalyteAbbr,Result,ResultSign,Units,Method,Depth,Description,Notes,Latitude,Longitude
Bethel Island near Piper Slough,2014-06-04 11:45:00,Total Phosphorus,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0614B0691,2014-06-04,TotPhos,0.11,=,mg/L as P,EPA 365.4 DWR Modified [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-06-04 11:45:00,Total Phosphorus,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0614B0691,2014-06-04,TotPhos,0.1,=,mg/L as P,EPA 365.4 DWR Modified [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-07-16 11:17:00,Total Suspended Solids,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0714B0883,2014-07-16,TSS,1,=,mg/L,EPA 160.2 [1]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2014-07-16 11:17:00,Total Suspended Solids,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0714B0883,2014-07-16,TSS,1,=,mg/L,EPA 160.2 [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-07-28 11:12:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0714B0935,2014-07-28,DOC,3.1,=,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-07-28 11:12:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0714B0935,2014-07-28,DOC,3.1,=,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2014-07-28 11:12:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0714B0935,2014-07-28,TOC,3,=,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2014-07-28 11:12:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0714B0935,2014-07-28,TOC,3,=,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-07-28 11:12:00,Total Suspended Solids,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0714B0935,2014-07-28,TSS,1,=,mg/L,EPA 160.2 [1]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2014-07-28 11:12:00,Total Suspended Solids,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0714B0935,2014-07-28,TSS,1,=,mg/L,EPA 160.2 [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-08-14 11:00:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0814B1059,2014-08-14,DOC,3.1,=,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-08-14 11:00:00,Dissolved Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0814B1059,2014-08-14,DOC,3.1,=,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2014-08-14 11:00:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0814B1059,2014-08-14,TOC,2.8,=,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-08-14 11:00:00,Total Organic Carbon,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF0814B1059,2014-08-14,TOC,2.8,=,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,1 Meters,NA,Duplicate,38.041092,-121.632187
Bethel Island near Piper Slough,2014-10-07 11:45:00,Dissolved Chloride,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF1014B1384,2014-10-07,DissChloride,230,=,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-10-07 11:45:00,Dissolved Chloride,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF1014B1384,2014-10-07,DissChloride,229,=,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,NA,NA,38.041092,-121.632187
Bethel Island near Piper Slough,2014-10-23 12:00:00,Dissolved Bromide,"3000 - Public, Review Status Unknown",Bethel near Piper,B9D80251385,CF1014B1493,2014-10-23,DissBromide,0.85,=,mg/L,EPA 300.0 28d Hold [1]*,1 Meters,NA,NA,38.041092,-121.632187
